emotion,correlation
amusement,-0.517539704319
interest,0
pride,0
joy,-0.97954849521
pleasure,0
relief,-0.517539704319
compassion,0
admiration,0
contentment,-0.924122566362
love,0
disappointment,-0.887407473293
regret,0
sadness,0
shame,0
guilt,0
hate,0
contempt,0
disgust,0
fear,-0.668095780797
anger,-0.868890488344
