time,price,amusement,interest,pride,joy,pleasure,relief,compassion,admiration,contentment,love,disappointment,regret,sadness,shame,guilt,hate,contempt,disgust,fear,anger
01-03-16,0,0,0,0,0,0,0,0,0,78,0,187,0,0,0,0,0,0,0,0,0
02-03-16,0,0,0,0,0,0,0,0,0,48,0,32,0,0,0,0,0,0,0,0,0
03-03-16,0,0,0,0,0,0,0,0,0,28,0,2,0,0,0,0,0,0,0,0,0
04-03-16,0,0,4,0,0,0,0,0,0,6,0,2,0,0,0,0,0,0,0,0,0
05-03-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-02-16,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
