time,price,amusement,interest,pride,joy,pleasure,relief,compassion,admiration,contentment,love,disappointment,regret,sadness,shame,guilt,hate,contempt,disgust,fear,anger
01-03-16,4.14,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
02-03-16,4.37,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
29-02-16,4.03,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
