time,price,amusement,interest,pride,joy,pleasure,relief,compassion,admiration,contentment,love,disappointment,regret,sadness,shame,guilt,hate,contempt,disgust,fear,anger
01-03-16,0.5,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
02-03-16,0.5,0,0,0,0,0,0,0,0,61,0,5,0,0,0,0,0,0,0,0,0
29-02-16,0.5,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,2,0
