emotion,correlation
amusement,-0.999798139403
interest,0.138240701507
pride,0.281929353217
joy,0
pleasure,0
relief,0
compassion,0
admiration,0
contentment,0.8250769524
love,0.362597450218
disappointment,0.61071876339
regret,0.408997540038
sadness,-0.911818856893
shame,0
guilt,0
hate,0
contempt,0
disgust,0
fear,0.330704044784
anger,0.382267784215
