time,price,amusement,interest,pride,joy,pleasure,relief,compassion,admiration,contentment,love,disappointment,regret,sadness,shame,guilt,hate,contempt,disgust,fear,anger
01-03-16,87.629997,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
02-03-16,87.190002,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0
03-03-16,86.379997,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
04-03-16,87.300003,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0
05-03-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-02-16,84.57,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,8,0
